ISO code,year,value
ABW,2000,1873452514
ABW,2001,1896456983
ABW,2002,1961843575
ABW,2003,2044111732
ABW,2004,2254830726
ABW,2005,2360017318
ABW,2006,2469782682
ABW,2007,2677641341
ABW,2008,2843024581
ABW,2009,2553793296
ABW,2010,2453597207
ABW,2011,2637859218
ABW,2012,2615208380
ABW,2013,2727849162
ABW,2014,2790849721
ABW,2015,2962906704
ABW,2016,2983637430
ABW,2017,3092427933
ABW,2018,3276187709
ABW,2019,3346623191
ABW,2020,2471419182
ABW,2021,2880902799
ABW,2022,3324034443
ABW,2023,3834729616
ABW,2024,4265650673
ABW,2025,
AFE,2000,2.87042E+11
AFE,2001,2.6085E+11
AFE,2002,2.69746E+11
AFE,2003,3.58116E+11
AFE,2004,4.45975E+11
AFE,2005,5.21562E+11
AFE,2006,5.875E+11
AFE,2007,6.75E+11
AFE,2008,7.2677E+11
AFE,2009,7.26922E+11
AFE,2010,8.63822E+11
AFE,2011,9.59822E+11
AFE,2012,9.69266E+11
AFE,2013,9.81309E+11
AFE,2014,9.98836E+11
AFE,2015,9.10002E+11
AFE,2016,8.31868E+11
AFE,2017,9.78076E+11
AFE,2018,1.02096E+12
AFE,2019,1.01871E+12
AFE,2020,9.38608E+11
AFE,2021,1.11414E+12
AFE,2022,1.22897E+12
AFE,2023,1.17936E+12
AFE,2024,1.24269E+12
AFE,2025,
AFG,2000,3521418060
AFG,2001,2813571754
AFG,2002,3825701439
AFG,2003,4520946819
AFG,2004,5224896719
AFG,2005,6203256539
AFG,2006,6971758282
AFG,2007,9747886187
AFG,2008,10109297048
AFG,2009,12416152732
AFG,2010,15856668556
AFG,2011,17805098206
AFG,2012,19907329778
AFG,2013,20146416758
AFG,2014,20497128556
AFG,2015,19134221645
AFG,2016,18116572395
AFG,2017,18753456498
AFG,2018,18053222687
AFG,2019,18799444490
AFG,2020,19955929052
AFG,2021,14259995441
AFG,2022,14497243872
AFG,2023,17152234637
AFG,2024,
AFG,2025,
AFW,2000,1.427E+11
AFW,2001,1.50714E+11
AFW,2002,1.80129E+11
AFW,2003,2.08647E+11
AFW,2004,2.57939E+11
AFW,2005,3.16516E+11
AFW,2006,4.02077E+11
AFW,2007,4.70948E+11
AFW,2008,5.7426E+11
AFW,2009,5.15037E+11
AFW,2010,6.05794E+11
AFW,2011,6.91133E+11
AFW,2012,7.4803E+11
AFW,2013,8.4418E+11
AFW,2014,9.04072E+11
AFW,2015,7.78022E+11
AFW,2016,7.00028E+11
AFW,2017,6.94051E+11
AFW,2018,7.7784E+11
AFW,2019,1.027E+12
AFW,2020,9.63785E+11
AFW,2021,1.02665E+12
AFW,2022,1.06365E+12
AFW,2023,9.38238E+11
AFW,2024,7.36385E+11
AFW,2025,
AGO,2000,9129594970
AGO,2001,8936079118
AGO,2002,17311512432
AGO,2003,20342128112
AGO,2004,26997977897
AGO,2005,41396636383
AGO,2006,58653659980
AGO,2007,73037821927
AGO,2008,98790432989
AGO,2009,81705175408
AGO,2010,95546919755
AGO,2011,1.25552E+11
AGO,2012,1.43573E+11
AGO,2013,1.48845E+11
AGO,2014,1.5345E+11
AGO,2015,1.02543E+11
AGO,2016,59878249719
AGO,2017,84376935689
AGO,2018,89512794227
AGO,2019,80734428593
AGO,2020,58852456454
AGO,2021,79559543805
AGO,2022,1.31212E+11
AGO,2023,1.07168E+11
AGO,2024,1.00999E+11
AGO,2025,
ALB,2000,3584570165
ALB,2001,4059064033
ALB,2002,4515003117
ALB,2003,5801712040
ALB,2004,7406645793
ALB,2005,8256658250
ALB,2006,9150528132
ALB,2007,11116937870
ALB,2008,13258506375
ALB,2009,12335540656
ALB,2010,12086545641
ALB,2011,12973755875
ALB,2012,12246499748
ALB,2013,12796985886
ALB,2014,13296322588
ALB,2015,11470171827
ALB,2016,11988668785
ALB,2017,13258268436
ALB,2018,15379508330
ALB,2019,15585111614
ALB,2020,15241458745
ALB,2021,18031989573
ALB,2022,19017247014
ALB,2023,23491242727
ALB,2024,27046429297
ALB,2025,
AND,2000,1432606296
AND,2001,1548265927
AND,2002,1764279818
AND,2003,2366941614
AND,2004,2900244054
AND,2005,3161084847
AND,2006,3459336818
AND,2007,3957627537
AND,2008,4102317468
AND,2009,3688974807
AND,2010,3449925694
AND,2011,3629133063
AND,2012,3188653259
AND,2013,3193513470
AND,2014,3271686452
AND,2015,2789882569
AND,2016,2896611879
AND,2017,3000160415
AND,2018,3218418632
AND,2019,3155150256
AND,2020,2891002460
