Indicator Name,Income Group,Year,Median,Lower Bound,Upper Bound,Count
DTP3 Coverage,High-income countries,2000,94,88.84897748,99.15102252,63
DTP3 Coverage,Low-income countries,2000,70,48.46584133,91.53415867,25
DTP3 Coverage,Lower-middle-income countries,2000,91,76.43180792,105.5681921,49
DTP3 Coverage,Upper-middle-income countries,2000,95.5,84.31459921,106.6854008,53
DTP3 Coverage,High-income countries,2001,95,91.15190855,98.84809145,63
DTP3 Coverage,Low-income countries,2001,71,49.70653372,92.29346628,25
DTP3 Coverage,Lower-middle-income countries,2001,91,79.20974148,102.7902585,49
DTP3 Coverage,Upper-middle-income countries,2001,96.5,85.94241662,107.0575834,53
DTP3 Coverage,High-income countries,2002,95,90.95189186,99.04810814,63
DTP3 Coverage,Low-income countries,2002,65,45.68550629,84.31449371,25
DTP3 Coverage,Lower-middle-income countries,2002,92,82.57956703,101.420433,49
DTP3 Coverage,Upper-middle-income countries,2002,96,84.23299675,107.7670033,53
DTP3 Coverage,High-income countries,2003,96,92.45913915,99.54086085,63
DTP3 Coverage,Low-income countries,2003,72.5,52.68529337,92.31470663,25
DTP3 Coverage,Lower-middle-income countries,2003,90,78.74587992,101.2541201,49
DTP3 Coverage,Upper-middle-income countries,2003,96,85.11947069,106.8805293,53
DTP3 Coverage,High-income countries,2004,95,91.30680679,98.69319321,63
DTP3 Coverage,Low-income countries,2004,73,53.60050799,92.39949201,25
DTP3 Coverage,Lower-middle-income countries,2004,89,77.22477078,100.7752292,49
DTP3 Coverage,Upper-middle-income countries,2004,96,82.9435851,109.0564149,53
DTP3 Coverage,High-income countries,2005,96,92.98763233,99.01236767,63
DTP3 Coverage,Low-income countries,2005,77,59.19763558,94.80236442,25
DTP3 Coverage,Lower-middle-income countries,2005,92.5,80.75199658,104.2480034,49
DTP3 Coverage,Upper-middle-income countries,2005,96,83.3804813,108.6195187,53
DTP3 Coverage,High-income countries,2006,96,92.10036051,99.89963949,63
DTP3 Coverage,Low-income countries,2006,78,60.53007976,95.46992024,25
DTP3 Coverage,Lower-middle-income countries,2006,93,80.41974749,105.5802525,49
DTP3 Coverage,Upper-middle-income countries,2006,95.5,82.93426955,108.0657305,53
DTP3 Coverage,High-income countries,2007,96,87.75252564,104.2474744,63
DTP3 Coverage,Low-income countries,2007,80,62.97735602,97.02264398,25
DTP3 Coverage,Lower-middle-income countries,2007,94,81.83167165,106.1683283,49
DTP3 Coverage,Upper-middle-income countries,2007,96,88.83112892,103.1688711,53
DTP3 Coverage,High-income countries,2008,97,88.80893551,105.1910645,63
DTP3 Coverage,Low-income countries,2008,81,63.69058853,98.30941147,25
DTP3 Coverage,Lower-middle-income countries,2008,90,75.36290475,104.6370952,49
DTP3 Coverage,Upper-middle-income countries,2008,95,86.53367571,103.4663243,53
DTP3 Coverage,High-income countries,2009,96,88.33305531,103.6669447,63
DTP3 Coverage,Low-income countries,2009,82,64.98567723,99.01432277,25
DTP3 Coverage,Lower-middle-income countries,2009,91,78.51446679,103.4855332,49
DTP3 Coverage,Upper-middle-income countries,2009,95,85.98321479,104.0167852,53
DTP3 Coverage,High-income countries,2010,96,88.61442157,103.3855784,63
DTP3 Coverage,Low-income countries,2010,83,66.98976168,99.01023832,25
DTP3 Coverage,Lower-middle-income countries,2010,89.5,76.08946616,102.9105338,49
DTP3 Coverage,Upper-middle-income countries,2010,95,87.58675109,102.4132489,53
DTP3 Coverage,High-income countries,2011,96.5,89.8374026,103.1625974,63
DTP3 Coverage,Low-income countries,2011,84.5,68.12670098,100.873299,25
DTP3 Coverage,Lower-middle-income countries,2011,91,77.83973082,104.1602692,49
DTP3 Coverage,Upper-middle-income countries,2011,95,86.07436789,103.9256321,53
DTP3 Coverage,High-income countries,2012,96,89.55510277,102.4448972,63
DTP3 Coverage,Low-income countries,2012,85,68.56204547,101.4379545,25
DTP3 Coverage,Lower-middle-income countries,2012,92,78.93694223,105.0630578,49
